club_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Middlesbrough,3.184,,,13.0,16.28,,12.08,10.32,33.47,22.7,34.08,10.2,6.75,13.96,11.3,50.6,12.8,7.285,7.21,1.6,1.28,2.39,11.11,33.4,47.95,55.650000000000006,21.5,3.5200000000000005,3.0,12.56,10.23
Newcastle United,,6.5969999999999995,10.879999999999999,32.2,18.0,33.595,42.6,27.25,25.91,31.59,34.55,0.0,29.450000000000003,61.75,31.875,37.85,35.48,6.265,13.98,27.0,31.965,3.8,45.019999999999996,107.91,64.25,46.5,59.75,72.9,39.0,130.5,185.35
Norwich City,1.0,0.625,3.46,,,,,,,,,,8.525,5.83,1.925,2.25,1.75,,4.984999999999999,15.25,11.08,30.05,20.35,50.5,26.45,15.116,5.45,8.815000000000001,13.285,63.55,14.4
Nottingham Forest,1.4100000000000001,,6.7,3.843,9.685,,8.8,,,,,,0.52,,,,5.62,7.335,2.1,2.05,6.14,8.65,10.200000000000001,0.0,4.458,7.255,27.43,8.0,15.14,6.994,184.25
Oldham Athletic,2.571,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portsmouth,,,,,,,,,,,,11.78,10.85,18.775,9.1,58.64,28.2,10.56,0.0,5.105,,,,,,,,,,,
Queens Park Rangers,0.126,0.82,0.36,5.335,,,,,,,,,0.22999999999999998,0.225,1.4000000000000001,9.925,4.03,4.0,5.99,26.235,50.35,11.825,43.538,17.419999999999998,12.87,0.7000000000000001,0.0,0.06,7.1000000000000005,1.8499999999999999,0.0
Reading,,,,,,,,,,,,,1.2,2.667,9.225,12.1,2.76,6.435,2.66,1.9849999999999999,10.82,2.0,1.5,6.2,8.935,14.1,5.25,12.9,3.9,0.0,0.0
Sheffield United,0.36,1.595,,,,,,,,,,,0.565,6.83,18.03,9.9,6.76,7.275,0.275,,,,,,,5.64,6.7,70.5,62.7,0.3,4.5
Sheffield Wednesday,3.2,7.404,4.457,12.75,9.04,10.985,4.61,8.0,,,,,,2.1350000000000002,2.24,1.2850000000000001,0.1,0.4,,,1.305,0.407,2.5,15.46,10.895,15.2,0.0,1.1,1.11,,
Southampton,2.953,2.92,3.288,2.2399999999999998,3.2430000000000003,8.88,7.3,3.425,0.0,19.35,12.0,8.98,12.675,3.85,6.955,3.13,2.025,,,5.609999999999999,41.5,39.6,96.0,60.1,68.9,61.25,62.25,61.5,37.3,43.1,143.65
Stoke City,,,,,,,,,,,,,0.075,2.175,2.55,6.945,33.95,26.05,21.099999999999998,24.8,23.68,7.0,1.8,53.65,42.165,57.699999999999996,62.9,6.7,2.2,4.65,0.0
Sunderland AFC,,,,,7.43,,,16.7,16.865000000000002,29.76,29.68,,1.445,5.93,16.1,64.32,33.11,46.1,29.1,27.919999999999998,38.3,33.91,22.52,66.05,41.9,1.405,,,,,6.06
Swansea City,,,,,,,,,,,,,,,,,1.325,2.7750000000000004,0.985,12.85,20.47,26.612,41.53,21.810000000000002,58.1,73.385,7.1499999999999995,0.55,1.963,5.926,2.3
Swindon Town,,1.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham Hotspur,7.575,4.418,9.35,13.37,8.25,17.7,9.78,17.0,25.74,28.05,10.5,29.75,47.125,36.51,61.0,94.15,143.95,40.300000000000004,26.6,9.0,73.25,122.55,48.480000000000004,71.0,83.5,121.0,0.0,150.5,110.5,95.9,177.9
Watford,,,,,,,,4.4,,,,,0.375,1.725,10.475,10.43,0.35500000000000004,1.6600000000000001,0.725,1.41,0.0,0.0,9.0,82.8,70.45,73.4,30.1,56.0,0.0,43.5,18.810000000000002
West Bromwich Albion,,,,,,,,,,,16.95,,15.85,15.3,2.85,22.23,24.32,7.225,13.83,9.138,5.0,15.7,24.880000000000003,42.9,37.9,53.5,15.19,21.5,42.14,8.64,1.345
West Ham United,,2.014,8.373,4.724,14.8,12.605,11.14,7.779999999999999,18.656,22.06,0.4,,1.51,21.59,69.86,47.15,16.0,21.65,18.025,12.084999999999999,23.895,24.0,35.15,52.7,83.5,56.800000000000004,100.9,119.8,54.7,74.5,194.0
Wigan Athletic,,,,,,,,,,,,,1.8,15.77,29.38,17.9,24.1,18.435,11.4,12.379999999999999,10.535,6.405,14.15,,1.9849999999999999,,5.645,7.925000000000001,,,0.0
Wimbledon,2.143,0.585,3.33,0.855,2.88,5.209,16.75,8.25,,,,,,,,,,,,,,,,,,,,,,,
Wolverhampton Wanderers,,,,,,,,,,,,9.875,4.025,3.125,2.81,7.5,8.925,19.45,20.215,12.05,15.33,,3.85,9.344,36.1,24.61,112.75,116.7,87.589,37.6,177.107
